,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
700,2024-05-13,Uttar Pradesh,Spinach,17,20 - 22,20 - 28,1kg,resource/images/vegetables/spinach-64.png
701,2024-05-13,Uttar Pradesh,Sweet Potato,38,44 - 48,46 - 63,1kg,resource/images/vegetables/sweetpotato-64.png
702,2024-05-14,Uttar Pradesh,Onion Big,24,28 - 30,29 - 40,1kg,resource/images/vegetables/onionbig-64.png
703,2024-05-14,Uttar Pradesh,Onion Small,36,41 - 46,43 - 59,1kg,resource/images/vegetables/onionsmall-64.png
704,2024-05-14,Uttar Pradesh,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
705,2024-05-14,Uttar Pradesh,Green Chilli,44,51 - 56,53 - 73,1kg,resource/images/vegetables/greenchili-64.png
706,2024-05-14,Uttar Pradesh,Beetroot,38,44 - 48,46 - 63,1kg,resource/images/vegetables/beetroot-64.png
707,2024-05-14,Uttar Pradesh,Potato,32,37 - 41,38 - 53,1kg,resource/images/vegetables/potato-64.png
708,2024-05-14,Uttar Pradesh,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
709,2024-05-14,Uttar Pradesh,Amaranth Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/amaranthleaves-64.png
710,2024-05-14,Uttar Pradesh,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
711,2024-05-14,Uttar Pradesh,Ash gourd,21,24 - 27,25 - 35,1kg,resource/images/vegetables/ashgourd-64.png
712,2024-05-14,Uttar Pradesh,Baby Corn,52,60 - 66,62 - 86,1kg,resource/images/vegetables/babycorn-64.png
713,2024-05-14,Uttar Pradesh,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
714,2024-05-14,Uttar Pradesh,Capsicum,48,55 - 61,58 - 79,1kg,resource/images/vegetables/capsicum-64.png
715,2024-05-14,Uttar Pradesh,Bitter Gourd,33,38 - 42,40 - 54,1kg,resource/images/vegetables/bittergourd-64.png
716,2024-05-14,Uttar Pradesh,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
717,2024-05-14,Uttar Pradesh,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
718,2024-05-14,Uttar Pradesh,Broad Beans,31,36 - 39,37 - 51,1kg,resource/images/vegetables/broadbeans-64.png
719,2024-05-14,Uttar Pradesh,Cabbage,20,23 - 25,24 - 33,1kg,resource/images/vegetables/cabbage-64.png
720,2024-05-14,Uttar Pradesh,Carrot,42,48 - 53,50 - 69,1kg,resource/images/vegetables/carrot-64.png
721,2024-05-14,Uttar Pradesh,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
722,2024-05-14,Uttar Pradesh,Cluster beans,43,49 - 55,52 - 71,1kg,resource/images/vegetables/clusterbeans-64.png
723,2024-05-14,Uttar Pradesh,Coconut,38,44 - 48,46 - 63,1kg,resource/images/vegetables/coconut-64.png
724,2024-05-14,Uttar Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/colocasialeaves-64.png
725,2024-05-14,Uttar Pradesh,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
726,2024-05-14,Uttar Pradesh,Coriander Leaves,7,8 - 9,8 - 12,1kg,resource/images/vegetables/corianderleaves-64.png
727,2024-05-14,Uttar Pradesh,Corn,29,33 - 37,35 - 48,1kg,resource/images/vegetables/corn-64.png
728,2024-05-14,Uttar Pradesh,Cucumber,24,28 - 30,29 - 40,1kg,resource/images/vegetables/cucumber-64.png
729,2024-05-14,Uttar Pradesh,Curry Leaves,30,35 - 38,36 - 50,1kg,resource/images/vegetables/curryleaves-64.png
730,2024-05-14,Uttar Pradesh,Dill Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/dillleaves-64.png
731,2024-05-14,Uttar Pradesh,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
732,2024-05-14,Uttar Pradesh,Brinjal,22,25 - 28,26 - 36,1kg,resource/images/vegetables/brinjal-64.png
733,2024-05-14,Uttar Pradesh,Brinjal (Big),25,29 - 32,30 - 41,1kg,resource/images/vegetables/brinjalbig-64.png
734,2024-05-14,Uttar Pradesh,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
735,2024-05-14,Uttar Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/fenugreekleaves-64.png
736,2024-05-14,Uttar Pradesh,French Beans,55,63 - 70,66 - 91,1kg,resource/images/vegetables/frenchbeans-64.png
737,2024-05-14,Uttar Pradesh,Garlic,169,194 - 215,203 - 279,1kg,resource/images/vegetables/garlic-64.png
738,2024-05-14,Uttar Pradesh,Ginger,112,129 - 142,134 - 185,1kg,resource/images/vegetables/ginger-64.png
739,2024-05-14,Uttar Pradesh,Onion Green,40,46 - 51,48 - 66,1kg,resource/images/vegetables/oniongreen-64.png
740,2024-05-14,Uttar Pradesh,Green Peas,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenpeas-64.png
741,2024-05-14,Uttar Pradesh,Ivy Gourd,22,25 - 28,26 - 36,1kg,resource/images/vegetables/ivygourd-64.png
742,2024-05-14,Uttar Pradesh,Lemon (Lime),67,77 - 85,80 - 111,1kg,resource/images/vegetables/lemon-64.png
743,2024-05-14,Uttar Pradesh,Mango Raw,24,28 - 30,29 - 40,1kg,resource/images/vegetables/mangoraw-64.png
744,2024-05-14,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
745,2024-05-14,Uttar Pradesh,Mushroom,79,91 - 100,95 - 130,1kg,resource/images/vegetables/mushroom-64.png
746,2024-05-14,Uttar Pradesh,Mustard Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/mustardleaves-64.png
747,2024-05-14,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
748,2024-05-14,Uttar Pradesh,Pumpkin,20,23 - 25,24 - 33,1kg,resource/images/vegetables/pumpkin-64.png
749,2024-05-14,Uttar Pradesh,Radish,23,26 - 29,28 - 38,1kg,resource/images/vegetables/radish-64.png
750,2024-05-14,Uttar Pradesh,Ridge Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/ridgegourd-64.png
751,2024-05-14,Uttar Pradesh,Shallot (Pearl Onion),36,41 - 46,43 - 59,1kg,resource/images/vegetables/shallot-64.png
752,2024-05-14,Uttar Pradesh,Snake Gourd,23,26 - 29,28 - 38,1kg,resource/images/vegetables/snakegourd-64.png
753,2024-05-14,Uttar Pradesh,Sorrel Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/sorrelleaves-64.png
754,2024-05-14,Uttar Pradesh,Spinach,17,20 - 22,20 - 28,1kg,resource/images/vegetables/spinach-64.png
755,2024-05-14,Uttar Pradesh,Sweet Potato,38,44 - 48,46 - 63,1kg,resource/images/vegetables/sweetpotato-64.png
756,2024-05-15,Uttar Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
757,2024-05-15,Uttar Pradesh,Onion Small,33,38 - 42,40 - 54,1kg,resource/images/vegetables/onionsmall-64.png
758,2024-05-15,Uttar Pradesh,Tomato,21,24 - 27,25 - 35,1kg,resource/images/vegetables/tomato-64.png
759,2024-05-15,Uttar Pradesh,Green Chilli,69,79 - 88,83 - 114,1kg,resource/images/vegetables/greenchili-64.png
760,2024-05-15,Uttar Pradesh,Beetroot,37,43 - 47,44 - 61,1kg,resource/images/vegetables/beetroot-64.png
761,2024-05-15,Uttar Pradesh,Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/potato-64.png
762,2024-05-15,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
763,2024-05-15,Uttar Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/amaranthleaves-64.png
764,2024-05-15,Uttar Pradesh,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
765,2024-05-15,Uttar Pradesh,Ash gourd,20,23 - 25,24 - 33,1kg,resource/images/vegetables/ashgourd-64.png
766,2024-05-15,Uttar Pradesh,Baby Corn,59,68 - 75,71 - 97,1kg,resource/images/vegetables/babycorn-64.png
767,2024-05-15,Uttar Pradesh,Banana Flower,18,21 - 23,22 - 30,1kg,resource/images/vegetables/bananaflower-64.png
768,2024-05-15,Uttar Pradesh,Capsicum,45,52 - 57,54 - 74,1kg,resource/images/vegetables/capsicum-64.png
769,2024-05-15,Uttar Pradesh,Bitter Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/bittergourd-64.png
770,2024-05-15,Uttar Pradesh,Bottle Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/bottlegourd-64.png
771,2024-05-15,Uttar Pradesh,Butter Beans,48,55 - 61,58 - 79,1kg,resource/images/vegetables/butterbeans-64.png
772,2024-05-15,Uttar Pradesh,Broad Beans,70,81 - 89,84 - 116,1kg,resource/images/vegetables/broadbeans-64.png
773,2024-05-15,Uttar Pradesh,Cabbage,34,39 - 43,41 - 56,1kg,resource/images/vegetables/cabbage-64.png
774,2024-05-15,Uttar Pradesh,Carrot,47,54 - 60,56 - 78,1kg,resource/images/vegetables/carrot-64.png
775,2024-05-15,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
776,2024-05-15,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
777,2024-05-15,Uttar Pradesh,Coconut,38,44 - 48,46 - 63,1kg,resource/images/vegetables/coconut-64.png
778,2024-05-15,Uttar Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/colocasialeaves-64.png
779,2024-05-15,Uttar Pradesh,Colocasia,28,32 - 36,34 - 46,1kg,resource/images/vegetables/colocasia-64.png
780,2024-05-15,Uttar Pradesh,Coriander Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/corianderleaves-64.png
781,2024-05-15,Uttar Pradesh,Corn,32,37 - 41,38 - 53,1kg,resource/images/vegetables/corn-64.png
782,2024-05-15,Uttar Pradesh,Cucumber,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cucumber-64.png
783,2024-05-15,Uttar Pradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,resource/images/vegetables/curryleaves-64.png
784,2024-05-15,Uttar Pradesh,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
785,2024-05-15,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
786,2024-05-15,Uttar Pradesh,Brinjal,34,39 - 43,41 - 56,1kg,resource/images/vegetables/brinjal-64.png
787,2024-05-15,Uttar Pradesh,Brinjal (Big),35,40 - 44,42 - 58,1kg,resource/images/vegetables/brinjalbig-64.png
788,2024-05-15,Uttar Pradesh,Elephant Yam,40,46 - 51,48 - 66,1kg,resource/images/vegetables/elephantyam-64.png
789,2024-05-15,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
790,2024-05-15,Uttar Pradesh,French Beans,182,209 - 231,218 - 300,1kg,resource/images/vegetables/frenchbeans-64.png
791,2024-05-15,Uttar Pradesh,Garlic,257,296 - 326,308 - 424,1kg,resource/images/vegetables/garlic-64.png
792,2024-05-15,Uttar Pradesh,Ginger,103,118 - 131,124 - 170,1kg,resource/images/vegetables/ginger-64.png
793,2024-05-15,Uttar Pradesh,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
794,2024-05-15,Uttar Pradesh,Green Peas,41,47 - 52,49 - 68,1kg,resource/images/vegetables/greenpeas-64.png
795,2024-05-15,Uttar Pradesh,Ivy Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/ivygourd-64.png
796,2024-05-15,Uttar Pradesh,Lemon (Lime),90,104 - 114,108 - 149,1kg,resource/images/vegetables/lemon-64.png
797,2024-05-15,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
798,2024-05-15,Uttar Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
799,2024-05-15,Uttar Pradesh,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
800,2024-05-15,Uttar Pradesh,Mustard Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/mustardleaves-64.png
801,2024-05-15,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
802,2024-05-15,Uttar Pradesh,Pumpkin,17,20 - 22,20 - 28,1kg,resource/images/vegetables/pumpkin-64.png
803,2024-05-15,Uttar Pradesh,Radish,40,46 - 51,48 - 66,1kg,resource/images/vegetables/radish-64.png
804,2024-05-15,Uttar Pradesh,Ridge Gourd,35,40 - 44,42 - 58,1kg,resource/images/vegetables/ridgegourd-64.png
805,2024-05-15,Uttar Pradesh,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg,resource/images/vegetables/shallot-64.png
806,2024-05-15,Uttar Pradesh,Snake Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/snakegourd-64.png
807,2024-05-15,Uttar Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
808,2024-05-15,Uttar Pradesh,Spinach,11,13 - 14,13 - 18,1kg,resource/images/vegetables/spinach-64.png
809,2024-05-15,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
810,2024-05-16,Uttar Pradesh,Onion Big,26,30 - 33,31 - 43,1kg,resource/images/vegetables/onionbig-64.png
811,2024-05-16,Uttar Pradesh,Onion Small,33,38 - 42,40 - 54,1kg,resource/images/vegetables/onionsmall-64.png
812,2024-05-16,Uttar Pradesh,Tomato,21,24 - 27,25 - 35,1kg,resource/images/vegetables/tomato-64.png
813,2024-05-16,Uttar Pradesh,Green Chilli,69,79 - 88,83 - 114,1kg,resource/images/vegetables/greenchili-64.png
814,2024-05-16,Uttar Pradesh,Beetroot,37,43 - 47,44 - 61,1kg,resource/images/vegetables/beetroot-64.png
815,2024-05-16,Uttar Pradesh,Potato,37,43 - 47,44 - 61,1kg,resource/images/vegetables/potato-64.png
816,2024-05-16,Uttar Pradesh,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
817,2024-05-16,Uttar Pradesh,Amaranth Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/amaranthleaves-64.png
818,2024-05-16,Uttar Pradesh,Amla,65,75 - 83,78 - 107,1kg,resource/images/vegetables/amla-64.png
819,2024-05-16,Uttar Pradesh,Ash gourd,20,23 - 25,24 - 33,1kg,resource/images/vegetables/ashgourd-64.png
820,2024-05-16,Uttar Pradesh,Baby Corn,59,68 - 75,71 - 97,1kg,resource/images/vegetables/babycorn-64.png
821,2024-05-16,Uttar Pradesh,Banana Flower,18,21 - 23,22 - 30,1kg,resource/images/vegetables/bananaflower-64.png
822,2024-05-16,Uttar Pradesh,Capsicum,45,52 - 57,54 - 74,1kg,resource/images/vegetables/capsicum-64.png
823,2024-05-16,Uttar Pradesh,Bitter Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/bittergourd-64.png
824,2024-05-16,Uttar Pradesh,Bottle Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/bottlegourd-64.png
825,2024-05-16,Uttar Pradesh,Butter Beans,48,55 - 61,58 - 79,1kg,resource/images/vegetables/butterbeans-64.png
826,2024-05-16,Uttar Pradesh,Broad Beans,70,81 - 89,84 - 116,1kg,resource/images/vegetables/broadbeans-64.png
827,2024-05-16,Uttar Pradesh,Cabbage,34,39 - 43,41 - 56,1kg,resource/images/vegetables/cabbage-64.png
828,2024-05-16,Uttar Pradesh,Carrot,47,54 - 60,56 - 78,1kg,resource/images/vegetables/carrot-64.png
829,2024-05-16,Uttar Pradesh,Cauliflower,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cauliflower-64.png
830,2024-05-16,Uttar Pradesh,Cluster beans,41,47 - 52,49 - 68,1kg,resource/images/vegetables/clusterbeans-64.png
831,2024-05-16,Uttar Pradesh,Coconut,38,44 - 48,46 - 63,1kg,resource/images/vegetables/coconut-64.png
832,2024-05-16,Uttar Pradesh,Colocasia Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/colocasialeaves-64.png
833,2024-05-16,Uttar Pradesh,Colocasia,28,32 - 36,34 - 46,1kg,resource/images/vegetables/colocasia-64.png
834,2024-05-16,Uttar Pradesh,Coriander Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/corianderleaves-64.png
835,2024-05-16,Uttar Pradesh,Corn,32,37 - 41,38 - 53,1kg,resource/images/vegetables/corn-64.png
836,2024-05-16,Uttar Pradesh,Cucumber,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cucumber-64.png
837,2024-05-16,Uttar Pradesh,Curry Leaves,27,31 - 34,32 - 45,1kg,resource/images/vegetables/curryleaves-64.png
838,2024-05-16,Uttar Pradesh,Dill Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/dillleaves-64.png
839,2024-05-16,Uttar Pradesh,Drumsticks,50,58 - 64,60 - 83,1kg,resource/images/vegetables/drumsticks-64.png
840,2024-05-16,Uttar Pradesh,Brinjal,34,39 - 43,41 - 56,1kg,resource/images/vegetables/brinjal-64.png
841,2024-05-16,Uttar Pradesh,Brinjal (Big),35,40 - 44,42 - 58,1kg,resource/images/vegetables/brinjalbig-64.png
842,2024-05-16,Uttar Pradesh,Elephant Yam,40,46 - 51,48 - 66,1kg,resource/images/vegetables/elephantyam-64.png
843,2024-05-16,Uttar Pradesh,Fenugreek Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/fenugreekleaves-64.png
844,2024-05-16,Uttar Pradesh,French Beans,182,209 - 231,218 - 300,1kg,resource/images/vegetables/frenchbeans-64.png
845,2024-05-16,Uttar Pradesh,Garlic,257,296 - 326,308 - 424,1kg,resource/images/vegetables/garlic-64.png
846,2024-05-16,Uttar Pradesh,Ginger,103,118 - 131,124 - 170,1kg,resource/images/vegetables/ginger-64.png
847,2024-05-16,Uttar Pradesh,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
848,2024-05-16,Uttar Pradesh,Green Peas,41,47 - 52,49 - 68,1kg,resource/images/vegetables/greenpeas-64.png
849,2024-05-16,Uttar Pradesh,Ivy Gourd,26,30 - 33,31 - 43,1kg,resource/images/vegetables/ivygourd-64.png
850,2024-05-16,Uttar Pradesh,Lemon (Lime),90,104 - 114,108 - 149,1kg,resource/images/vegetables/lemon-64.png
851,2024-05-16,Uttar Pradesh,Mango Raw,25,29 - 32,30 - 41,1kg,resource/images/vegetables/mangoraw-64.png
852,2024-05-16,Uttar Pradesh,Mint Leaves,4,5 - 5,5 - 7,1kg,resource/images/vegetables/mintleaves-64.png
853,2024-05-16,Uttar Pradesh,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
854,2024-05-16,Uttar Pradesh,Mustard Leaves,17,20 - 22,20 - 28,1kg,resource/images/vegetables/mustardleaves-64.png
855,2024-05-16,Uttar Pradesh,Ladies Finger,42,48 - 53,50 - 69,1kg,resource/images/vegetables/ladiesfinger-64.png
856,2024-05-16,Uttar Pradesh,Pumpkin,17,20 - 22,20 - 28,1kg,resource/images/vegetables/pumpkin-64.png
857,2024-05-16,Uttar Pradesh,Radish,40,46 - 51,48 - 66,1kg,resource/images/vegetables/radish-64.png
858,2024-05-16,Uttar Pradesh,Ridge Gourd,35,40 - 44,42 - 58,1kg,resource/images/vegetables/ridgegourd-64.png
859,2024-05-16,Uttar Pradesh,Shallot (Pearl Onion),33,38 - 42,40 - 54,1kg,resource/images/vegetables/shallot-64.png
860,2024-05-16,Uttar Pradesh,Snake Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/snakegourd-64.png
861,2024-05-16,Uttar Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
862,2024-05-16,Uttar Pradesh,Spinach,11,13 - 14,13 - 18,1kg,resource/images/vegetables/spinach-64.png
863,2024-05-16,Uttar Pradesh,Sweet Potato,39,45 - 50,47 - 64,1kg,resource/images/vegetables/sweetpotato-64.png
864,2024-05-17,Uttar Pradesh,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
865,2024-05-17,Uttar Pradesh,Onion Small,34,39 - 43,41 - 56,1kg,resource/images/vegetables/onionsmall-64.png
866,2024-05-17,Uttar Pradesh,Tomato,24,28 - 30,29 - 40,1kg,resource/images/vegetables/tomato-64.png
867,2024-05-17,Uttar Pradesh,Green Chilli,66,76 - 84,79 - 109,1kg,resource/images/vegetables/greenchili-64.png
868,2024-05-17,Uttar Pradesh,Beetroot,35,40 - 44,42 - 58,1kg,resource/images/vegetables/beetroot-64.png
869,2024-05-17,Uttar Pradesh,Potato,33,38 - 42,40 - 54,1kg,resource/images/vegetables/potato-64.png
870,2024-05-17,Uttar Pradesh,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
871,2024-05-17,Uttar Pradesh,Amaranth Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/amaranthleaves-64.png
872,2024-05-17,Uttar Pradesh,Amla,75,86 - 95,90 - 124,1kg,resource/images/vegetables/amla-64.png
873,2024-05-17,Uttar Pradesh,Ash gourd,21,24 - 27,25 - 35,1kg,resource/images/vegetables/ashgourd-64.png
874,2024-05-17,Uttar Pradesh,Baby Corn,47,54 - 60,56 - 78,1kg,resource/images/vegetables/babycorn-64.png
875,2024-05-17,Uttar Pradesh,Banana Flower,19,22 - 24,23 - 31,1kg,resource/images/vegetables/bananaflower-64.png
876,2024-05-17,Uttar Pradesh,Capsicum,46,53 - 58,55 - 76,1kg,resource/images/vegetables/capsicum-64.png
877,2024-05-17,Uttar Pradesh,Bitter Gourd,30,35 - 38,36 - 50,1kg,resource/images/vegetables/bittergourd-64.png
878,2024-05-17,Uttar Pradesh,Bottle Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/bottlegourd-64.png
879,2024-05-17,Uttar Pradesh,Butter Beans,46,53 - 58,55 - 76,1kg,resource/images/vegetables/butterbeans-64.png
880,2024-05-17,Uttar Pradesh,Broad Beans,62,71 - 79,74 - 102,1kg,resource/images/vegetables/broadbeans-64.png
881,2024-05-17,Uttar Pradesh,Cabbage,30,35 - 38,36 - 50,1kg,resource/images/vegetables/cabbage-64.png
882,2024-05-17,Uttar Pradesh,Carrot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/carrot-64.png
883,2024-05-17,Uttar Pradesh,Cauliflower,28,32 - 36,34 - 46,1kg,resource/images/vegetables/cauliflower-64.png
884,2024-05-17,Uttar Pradesh,Cluster beans,40,46 - 51,48 - 66,1kg,resource/images/vegetables/clusterbeans-64.png
885,2024-05-17,Uttar Pradesh,Coconut,35,40 - 44,42 - 58,1kg,resource/images/vegetables/coconut-64.png
886,2024-05-17,Uttar Pradesh,Colocasia Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/colocasialeaves-64.png
887,2024-05-17,Uttar Pradesh,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
888,2024-05-17,Uttar Pradesh,Coriander Leaves,10,12 - 13,12 - 17,1kg,resource/images/vegetables/corianderleaves-64.png
889,2024-05-17,Uttar Pradesh,Corn,30,35 - 38,36 - 50,1kg,resource/images/vegetables/corn-64.png
890,2024-05-17,Uttar Pradesh,Cucumber,24,28 - 30,29 - 40,1kg,resource/images/vegetables/cucumber-64.png
891,2024-05-17,Uttar Pradesh,Curry Leaves,25,29 - 32,30 - 41,1kg,resource/images/vegetables/curryleaves-64.png
892,2024-05-17,Uttar Pradesh,Dill Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/dillleaves-64.png
893,2024-05-17,Uttar Pradesh,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
894,2024-05-17,Uttar Pradesh,Brinjal,36,41 - 46,43 - 59,1kg,resource/images/vegetables/brinjal-64.png
895,2024-05-17,Uttar Pradesh,Brinjal (Big),36,41 - 46,43 - 59,1kg,resource/images/vegetables/brinjalbig-64.png
896,2024-05-17,Uttar Pradesh,Elephant Yam,35,40 - 44,42 - 58,1kg,resource/images/vegetables/elephantyam-64.png
897,2024-05-17,Uttar Pradesh,Fenugreek Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/fenugreekleaves-64.png
898,2024-05-17,Uttar Pradesh,French Beans,178,205 - 226,214 - 294,1kg,resource/images/vegetables/frenchbeans-64.png
899,2024-05-17,Uttar Pradesh,Garlic,256,294 - 325,307 - 422,1kg,resource/images/vegetables/garlic-64.png
900,2024-05-17,Uttar Pradesh,Ginger,140,161 - 178,168 - 231,1kg,resource/images/vegetables/ginger-64.png
901,2024-05-17,Uttar Pradesh,Onion Green,38,44 - 48,46 - 63,1kg,resource/images/vegetables/oniongreen-64.png
902,2024-05-17,Uttar Pradesh,Green Peas,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenpeas-64.png
903,2024-05-17,Uttar Pradesh,Ivy Gourd,27,31 - 34,32 - 45,1kg,resource/images/vegetables/ivygourd-64.png
904,2024-05-17,Uttar Pradesh,Lemon (Lime),96,110 - 122,115 - 158,1kg,resource/images/vegetables/lemon-64.png
905,2024-05-17,Uttar Pradesh,Mango Raw,30,35 - 38,36 - 50,1kg,resource/images/vegetables/mangoraw-64.png
906,2024-05-17,Uttar Pradesh,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
907,2024-05-17,Uttar Pradesh,Mushroom,90,104 - 114,108 - 149,1kg,resource/images/vegetables/mushroom-64.png
908,2024-05-17,Uttar Pradesh,Mustard Leaves,14,16 - 18,17 - 23,1kg,resource/images/vegetables/mustardleaves-64.png
909,2024-05-17,Uttar Pradesh,Ladies Finger,48,55 - 61,58 - 79,1kg,resource/images/vegetables/ladiesfinger-64.png
910,2024-05-17,Uttar Pradesh,Pumpkin,21,24 - 27,25 - 35,1kg,resource/images/vegetables/pumpkin-64.png
911,2024-05-17,Uttar Pradesh,Radish,34,39 - 43,41 - 56,1kg,resource/images/vegetables/radish-64.png
912,2024-05-17,Uttar Pradesh,Ridge Gourd,31,36 - 39,37 - 51,1kg,resource/images/vegetables/ridgegourd-64.png
913,2024-05-17,Uttar Pradesh,Shallot (Pearl Onion),34,39 - 43,41 - 56,1kg,resource/images/vegetables/shallot-64.png
914,2024-05-17,Uttar Pradesh,Snake Gourd,36,41 - 46,43 - 59,1kg,resource/images/vegetables/snakegourd-64.png
915,2024-05-17,Uttar Pradesh,Sorrel Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/sorrelleaves-64.png
916,2024-05-17,Uttar Pradesh,Spinach,12,14 - 15,14 - 20,1kg,resource/images/vegetables/spinach-64.png
917,2024-05-17,Uttar Pradesh,Sweet Potato,38,44 - 48,46 - 63,1kg,resource/images/vegetables/sweetpotato-64.png
